CaseNumber,InstitutionName,InstitutionURL,DetailsURL,DateOpened,Status,OpenFor,DateResolved
1,Vanderbilt University,www.vanderbilt.edu,http://projects.chronicle.com/titleix/case/1,"March 3, 2014",Open,"1year, 10months",NA
2,Allegheny College,www.allegheny.edu,http://projects.chronicle.com/titleix/case/2,"December 5, 2014",Open,"1year, 1month",NA
3,University of Akron,www.uakron.edu,http://projects.chronicle.com/titleix/case/3,"May 6, 2014",Open,"1year, 8months",NA
4,University of Alaska system,www.alaska.edu,http://projects.chronicle.com/titleix/case/4,"May 5, 2014",Open,"1year, 8months",NA
5,American University,www.american.edu,http://projects.chronicle.com/titleix/case/5,"March 11, 2015",Open,"10months, 1week",NA
6,Pennsylvania State University at University Park,www.psu.edu,http://projects.chronicle.com/titleix/case/6,"January 23, 2014",Open,"1year, 11months",NA
7,Stanford University,www.stanford.edu,http://projects.chronicle.com/titleix/case/7,"February 26, 2015",Open,"10months, 2weeks",NA
8,University of California at Berkeley,www.berkeley.edu,http://projects.chronicle.com/titleix/case/8,"March 25, 2014",Open,"1year, 9months",NA
9,Arizona State University,www.asu.edu,http://projects.chronicle.com/titleix/case/9,"January 26, 2012",Open,"3years, 11months",NA
10,Barnard College,www.barnard.edu,http://projects.chronicle.com/titleix/case/10,"December 29, 2014",Open,1year,NA
11,Berklee College of Music,www.berklee.edu,http://projects.chronicle.com/titleix/case/11,"June 9, 2014",Open,"1year, 7months",NA
12,Bethany College (W.Va.),www.bethanywv.edu,http://projects.chronicle.com/titleix/case/12,"April 28, 2014",Open,"1year, 8months",NA
13,Northeastern University,www.northeastern.edu,http://projects.chronicle.com/titleix/case/13,"October 30, 2014",Open,"1year, 2months",NA
14,Morgan State University,www.morgan.edu,http://projects.chronicle.com/titleix/case/14,"June 26, 2014",Open,"1year, 6months",NA
15,Brown University,www.brown.edu,http://projects.chronicle.com/titleix/case/15,"July 10, 2014",Open,"1year, 6months",NA
16,University of Richmond,www.richmond.edu,http://projects.chronicle.com/titleix/case/16,"June 12, 2014",Open,"1year, 7months",NA
17,Butte College,www.butte.edu,http://projects.chronicle.com/titleix/case/17,"February 27, 2013",Open,"2years, 10months",NA
18,University of Rochester,www.rochester.edu,http://projects.chronicle.com/titleix/case/18,"May 21, 2015",Open,"7months, 3weeks",NA
19,California Institute of the Arts,www.calarts.edu,http://projects.chronicle.com/titleix/case/19,"September 30, 2014",Open,"1year, 3months",NA
20,Pace University,www.pace.edu,http://projects.chronicle.com/titleix/case/20,"July 22, 2014",Open,"1year, 5months",NA
21,Canisius College,www.canisius.edu,http://projects.chronicle.com/titleix/case/21,"December 11, 2014",Open,"1year, 1month",NA
22,University of California at Davis,www.ucdavis.edu,http://projects.chronicle.com/titleix/case/22,"March 24, 2015",Open,"9months, 3weeks",NA
23,University of California at Los Angeles,www.ucla.edu,http://projects.chronicle.com/titleix/case/23,"August 8, 2014",Open,"1year, 5months",NA
24,Boston University,www.bu.edu,http://projects.chronicle.com/titleix/case/24,"December 16, 2013",Open,2years,NA
25,Frostburg State University,www.frostburg.edu,http://projects.chronicle.com/titleix/case/25,"September 18, 2013",Open,"2years, 3months",NA
26,Carnegie Mellon University,www.cmu.edu,http://projects.chronicle.com/titleix/case/26,"January 13, 2014",Open,"1year, 12months",NA
27,University of California at San Francisco,www.ucsf.edu,http://projects.chronicle.com/titleix/case/27,"May 6, 2015",Open,"8months, 1week",NA
28,Catholic University of America,www.cua.edu,http://projects.chronicle.com/titleix/case/28,"January 8, 2014",Open,2years,NA
29,University of California at Santa Cruz,www.ucsc.edu,http://projects.chronicle.com/titleix/case/29,"March 13, 2015",Open,10months,NA
30,Guilford College,www.guilford.edu,http://projects.chronicle.com/titleix/case/30,"November 18, 2013",Open,"2years, 1month",NA
32,University of Chicago,www.uchicago.edu,http://projects.chronicle.com/titleix/case/32,"June 28, 2013",Open,"2years, 6months",NA
33,Johns Hopkins University,www.jhu.edu,http://projects.chronicle.com/titleix/case/33,"August 8, 2014",Open,"1year, 5months",NA
34,University of Colorado at Boulder,www.colorado.edu,http://projects.chronicle.com/titleix/case/34,"June 18, 2013",Open,"2years, 6months",NA
35,University of South Florida,www.usf.edu,http://projects.chronicle.com/titleix/case/35,"September 3, 2014",Open,"1year, 4months",NA
36,University of Colorado at Denver,www.ucdenver.edu,http://projects.chronicle.com/titleix/case/36,"April 29, 2014",Open,"1year, 8months",NA
37,University of Southern California,www.usc.edu,http://projects.chronicle.com/titleix/case/37,"June 26, 2013",Open,"2years, 6months",NA
38,University of Tennessee at Chattanooga,www.utc.edu,http://projects.chronicle.com/titleix/case/38,"December 5, 2014",Open,"1year, 1month",NA
39,University of Tennessee at Knoxville,www.tennessee.edu,http://projects.chronicle.com/titleix/case/39,"July 21, 2015",Open,"5months, 3weeks",NA
40,Marlboro College,www.marlboro.edu,http://projects.chronicle.com/titleix/case/40,"October 6, 2014",Open,"1year, 3months",NA
41,Hobart and William Smith Colleges,www.hws.edu,http://projects.chronicle.com/titleix/case/41,"April 24, 2014",Open,"1year, 8months",NA
42,Missouri University of Science and Technology,www.mst.edu,http://projects.chronicle.com/titleix/case/42,"May 21, 2014",Open,"1year, 7months",NA
43,Idaho State University,www.isu.edu,http://projects.chronicle.com/titleix/case/43,"June 5, 2015",Open,"7months, 1week",NA
44,Langston University,www.lunet.edu,http://projects.chronicle.com/titleix/case/44,"November 26, 2014",Open,"1year, 1month",NA
45,Hamilton College (N.Y.),www.hamilton.edu,http://projects.chronicle.com/titleix/case/45,"November 14, 2014",Open,"1year, 1month",NA
46,Hampshire College,www.hampshire.edu,http://projects.chronicle.com/titleix/case/46,"July 17, 2014",Open,"1year, 5months",NA
47,Harvard University,www.harvard.edu,http://projects.chronicle.com/titleix/case/47,"April 24, 2014",Open,"1year, 8months",NA
48,City University of New York Hunter College,www.hunter.cuny.edu,http://projects.chronicle.com/titleix/case/48,"February 8, 2013",Open,"2years, 11months",NA
49,James Madison University,www.jmu.edu,http://projects.chronicle.com/titleix/case/49,"June 4, 2014",Open,"1year, 7months",NA
50,Minot State University,www.minotstateu.edu,http://projects.chronicle.com/titleix/case/50,"February 26, 2014",Open,"1year, 10months",NA
51,Full Sail University,www.fullsail.edu,http://projects.chronicle.com/titleix/case/51,"July 20, 2015",Open,"5months, 3weeks",NA
52,Iowa State University,www.iastate.edu,http://projects.chronicle.com/titleix/case/52,"October 15, 2014",Open,"1year, 2months",NA
53,Grand Valley State University,www.gvsu.edu,http://projects.chronicle.com/titleix/case/53,"October 6, 2014",Open,"1year, 3months",NA
54,Indiana University at Bloomington,www.iub.edu,http://projects.chronicle.com/titleix/case/54,"March 12, 2014",Open,"1year, 10months",NA
55,Indiana University at Bloomington,www.iub.edu,http://projects.chronicle.com/titleix/case/55,"June 30, 2015",Open,"6months, 2weeks",NA
56,Kansas State University,www.k-state.edu,http://projects.chronicle.com/titleix/case/56,"August 4, 2014",Open,"1year, 5months",NA
57,Kansas State University,www.k-state.edu,http://projects.chronicle.com/titleix/case/57,"April 20, 2015",Open,"8months, 3weeks",NA
58,Knox College,www.knox.edu,http://projects.chronicle.com/titleix/case/58,"January 2, 2014",Open,2years,NA
59,Knox College,www.knox.edu,http://projects.chronicle.com/titleix/case/59,"June 26, 2014",Open,"1year, 6months",NA
60,Michigan State University,www.msu.edu,http://projects.chronicle.com/titleix/case/60,"July 21, 2011",Resolved,"4years, 1month","September 1, 2015"
61,Michigan State University,www.msu.edu,http://projects.chronicle.com/titleix/case/61,"February 18, 2014",Resolved,"1year, 6months","September 1, 2015"
62,College of William & Mary,www.wm.edu,http://projects.chronicle.com/titleix/case/62,"April 18, 2014",Open,"1year, 8months",NA
63,University of Texas-Pan American,www.utpa.edu,http://projects.chronicle.com/titleix/case/63,"April 21, 2014",Open,"1year, 8months",NA
64,Colorado State University at Fort Collins,www.colostate.edu,http://projects.chronicle.com/titleix/case/64,"June 24, 2014",Open,"1year, 6months",NA
65,Columbia University,www.columbia.edu,http://projects.chronicle.com/titleix/case/65,"January 8, 2015",Open,1year,NA
66,Cornell University,www.cornell.edu,http://projects.chronicle.com/titleix/case/66,"May 26, 2015",Open,"7months, 3weeks",NA
67,Davis & Elkins College,www.dewv.edu,http://projects.chronicle.com/titleix/case/67,"September 5, 2014",Open,"1year, 4months",NA
68,Denison University,www.denison.edu,http://projects.chronicle.com/titleix/case/68,"March 7, 2014",Open,"1year, 10months",NA
69,Elizabethtown College,www.etown.edu,http://projects.chronicle.com/titleix/case/69,"November 20, 2014",Open,"1year, 1month",NA
70,Emerson College,www.emerson.edu,http://projects.chronicle.com/titleix/case/70,"December 23, 2013",Open,2years,NA
71,Emory University,www.emory.edu,http://projects.chronicle.com/titleix/case/71,"December 13, 2013",Open,"2years, 1month",NA
72,Florida State University,www.fsu.edu,http://projects.chronicle.com/titleix/case/72,"April 3, 2014",Open,"1year, 9months",NA
73,Franklin & Marshall College,www.fandm.edu,http://projects.chronicle.com/titleix/case/73,"March 26, 2014",Open,"1year, 9months",NA
74,University of Connecticut,uconn.edu,http://projects.chronicle.com/titleix/case/74,"February 17, 2015",Open,"10months, 4weeks",NA
75,University of Delaware,www.udel.edu,http://projects.chronicle.com/titleix/case/75,"May 8, 2014",Open,"1year, 8months",NA
76,University of Denver,www.du.edu,http://projects.chronicle.com/titleix/case/76,"December 12, 2013",Open,"2years, 1month",NA
77,University of Denver,www.du.edu,http://projects.chronicle.com/titleix/case/77,"March 10, 2015",Open,"10months, 1week",NA
78,University of Hawaii-Manoa,manoa.hawaii.edu,http://projects.chronicle.com/titleix/case/78,"May 28, 2013",Open,"2years, 7months",NA
79,University of Idaho,www.uidaho.edu,http://projects.chronicle.com/titleix/case/79,"April 18, 2013",Open,"2years, 8months",NA
80,University of Idaho,www.uidaho.edu,http://projects.chronicle.com/titleix/case/80,"May 27, 2015",Open,"7months, 2weeks",NA
81,University of Iowa,www.uiowa.edu,http://projects.chronicle.com/titleix/case/81,"April 20, 2015",Open,"8months, 3weeks",NA
82,University of Kansas,www.ku.edu,http://projects.chronicle.com/titleix/case/82,"July 16, 2014",Open,"1year, 6months",NA
83,University of Kentucky,www.uky.edu,http://projects.chronicle.com/titleix/case/83,"April 14, 2015",Open,9months,NA
84,University of Virginia,www.virginia.edu,http://projects.chronicle.com/titleix/case/84,"June 30, 2011",Resolved,"4years, 2months","September 21, 2015"
85,University of Tennessee at Chattanooga,www.utc.edu,http://projects.chronicle.com/titleix/case/85,"April 3, 2015",Open,"9months, 2weeks",NA
86,University of Massachusetts at Amherst,www.umass.edu,http://projects.chronicle.com/titleix/case/86,"June 30, 2011",Open,"4years, 6months",NA
